Q.yearborn,Q.gender,Q.ethnicity,What do you use to stream TV shows or movies? Select all that apply.,"Of the two options, how do you identify?",Which statement applies to you? Select one.,Which do you currently use? Select all that apply.,"Of the below list, which platform do you use the most, right now? Select one.",Which do you currently use? Select all that apply.,"Of the below list, which platform do you use the most, right now? Select one.",Which statement best applies to you?,Have you canceled a streaming subscription in the past year?,Why did you cancel the streaming subscription in the past year? Select all that apply.,How many hours per week do you spend watching TV shows?,How many hours per week do you spend watching movies?,How many hours per week do you spend playing video games?,How many hours per week do you spend listening to podcasts or audiobooks?,How many hours per week do you spend listening to music?,"Of the below list, which is your favorite to do?","When you are streaming a TV show or movie, which do you primarily prefer?","When you are streaming a TV show or movie, which do you primarily prefer?","When you discover a new TV show or movie, how do you typically first hear about it? Select one.",How important is it to you to be the first of your friend group to discover a new TV show or movie?
1997,Male,['Black or African American'],"['Smart TV', 'Roku ', 'Smartphone']",Extrovert,I am a full time student,"['Netflix', 'Amazon Prime Video', 'Disney+', 'Peacock', 'Paramount +', 'ESPN+']",Amazon Prime Video,"['Amazon Music', 'Apple Music', 'Pandora', 'SoundCloud', 'YouTube Music']",Apple Music,I personally pay for most or all of the streaming platforms I use,No,[''],6-8 hours,6-8 hours,9-11 hours,6-8 hours,1-5 hours,Listening to podcasts/audiobooks,Focus entirely on the show,Watch with friends/family,Seeing it as a recommendation on a streaming app,Very important
1998,Male,['White or Caucasian'],"['Roku ', 'Gaming console', 'Smartphone', 'Laptop']",Introvert,I have a full time job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+', 'ESPN+', 'Funimation']",ESPN+,['Spotify'],,I personally pay for most or all of the streaming platforms I use,Yes,['Not enough content I liked'],1-5 hours,1-5 hours,12+ hours,0 hours,12+ hours,Playing video games,Focus entirely on the show,Watch alone,Seeing it on social media or online,Somewhat important
2000,Male,['Black or African American'],['Smartphone'],Introvert,I have a part time job,"['Hulu', 'Netflix']",Netflix,"['Spotify', 'Apple Music', 'SoundCloud', 'YouTube Music']",Spotify,I personally pay for most or all of the streaming platforms I use,No,[''],6-8 hours,6-8 hours,< 1 hour,< 1 hour,1-5 hours,Playing video games,Have it on in the background,Watch with friends/family,Hearing about it from a friend/family member,Very important
2000,Female,['Black or African American'],"['Firestick', 'Apple TV', 'Gaming console', 'Smartphone', 'Laptop']",Extrovert,I am a part time student with a job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Apple TV+', 'Disney+', 'Peacock', 'ESPN+', 'Discovery+']",Hulu,"['Amazon Music', 'Apple Music', 'YouTube Music']",Apple Music,I personally pay for most or all of the streaming platforms I use,No,[''],6-8 hours,9-11 hours,6-8 hours,1-5 hours,9-11 hours,Listening to music,Have it on in the background,Watch alone,Seeing it as an ad on a streaming app,Somewhat important
2002,Female,['Hispanic'],"['Smart TV', 'Smartphone']",Extrovert,I am a part time student,"['Netflix', 'HBO Max']",Netflix,['Pandora'],,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],< 1 hour,9-11 hours,0 hours,0 hours,1-5 hours,Listening to music,Focus entirely on the show,Watch alone,Seeing it as a recommendation on a streaming app,Very important
2001,Male,['Black or African American'],"['Smart TV', 'Roku ', 'Gaming console', 'Smartphone', 'Laptop']",Extrovert,I have a part time job,"['Hulu', 'Netflix', 'Disney+', 'Paramount +', 'HBO Max']",Disney+,"['Amazon Music', 'SoundCloud', 'YouTube Music']",YouTube Music,I personally pay for most or all of the streaming platforms I use,Yes,"['Not enough content I liked', 'Hard to navigate the platform']",< 1 hour,1-5 hours,1-5 hours,0 hours,< 1 hour,Listening to music,Have it on in the background,Watch with friends/family,Seeing it as a recommendation on a streaming app,Very important
2000,Male,['White or Caucasian'],"['Smartphone', 'Tablet', 'Laptop']",Introvert,I am a full time student,"['Peacock', 'Other (please specify)']",Peacock,"['Iheartradio', 'Spotify', 'Pandora']",Pandora,I personally pay for most or all of the streaming platforms I use,No,[''],6-8 hours,1-5 hours,6-8 hours,< 1 hour,1-5 hours,Playing video games,Have it on in the background,Watch alone,Hearing about it from a friend/family member,Not at all important
1999,Female,['Black or African American'],"['Chromecast', 'Smartphone']",Introvert,I have a full time job,"['Netflix', 'Apple TV+', 'Paramount +']",Netflix,"['Spotify', 'Apple Music']",Apple Music,I personally pay for most or all of the streaming platforms I use,No,[''],1-5 hours,6-8 hours,1-5 hours,6-8 hours,< 1 hour,Listening to music,Have it on in the background,Watch alone,Seeing it as a recommendation on a streaming app,Somewhat important
2000,Female,['Hispanic'],"['Smart TV', 'Laptop']",Introvert,I am a part time student with a job,"['Netflix', 'Amazon Prime Video', 'Disney+', 'Crunchyroll']",Netflix,"['Spotify', 'YouTube Music']",Spotify,I personally pay for most or all of the streaming platforms I use,No,[''],1-5 hours,< 1 hour,< 1 hour,0 hours,1-5 hours,Watching movies,Focus entirely on the show,Watch with friends/family,Seeing it on social media or online,Very important
2003,Male,['Black or African American'],"['Smart TV', 'Roku ', 'Gaming console', 'Smartphone']",Extrovert,I have a part time job,"['Hulu', 'Netflix', 'Crunchyroll']",Netflix,['Apple Music'],,I personally pay for most or all of the streaming platforms I use,No,[''],6-8 hours,1-5 hours,1-5 hours,< 1 hour,< 1 hour,Watching TV shows,Focus entirely on the show,Watch with friends/family,Seeing it as an ad on a streaming app,Somewhat important
2000,Female,['Black or African American'],"['Smart TV', 'Roku ', 'Smartphone', 'Laptop']",Introvert,I am a full time student,"['Netflix', 'Amazon Prime Video', 'Disney+']",Netflix,"['Apple Music', 'Audible', 'SoundCloud']",Apple Music,I personally pay for most or all of the streaming platforms I use,Yes,['Price/Cost'],1-5 hours,1-5 hours,< 1 hour,< 1 hour,1-5 hours,Listening to music,Have it on in the background,Watch alone,Seeing it on social media or online,A little important
2000,Female,['Black or African American'],"['Roku ', 'Firestick', 'Gaming console', 'Smartphone', 'Laptop']",Extrovert,I am a full time student with a job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'YouTube Premium', 'Disney+', 'Paramount +', 'HBO Max', 'ESPN+', 'Crunchyroll']",Netflix,"['Spotify', 'Amazon Music', 'Apple Music', 'Pandora', 'SoundCloud', 'YouTube Music']",Apple Music,I personally pay for most or all of the streaming platforms I use,Yes,"['Price/Cost', 'Content I liked left/ended']",1-5 hours,9-11 hours,1-5 hours,1-5 hours,6-8 hours,Watching movies,Focus entirely on the show,Watch with friends/family,Seeing it as an ad on a streaming app,Somewhat important
1997,Female,['Black or African American'],"['Smart TV', 'Roku ', 'Apple TV', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I am a full time student with a job,"['Hulu', 'Netflix', 'Disney+', 'HBO Max', 'Crunchyroll', 'Funimation']",Netflix,"['Spotify', 'Apple Music', 'Pandora']",Apple Music,I personally pay for most or all of the streaming platforms I use,Yes,['Not enough content I liked'],1-5 hours,6-8 hours,< 1 hour,1-5 hours,1-5 hours,Listening to music,Have it on in the background,Watch alone,Seeing it on social media or online,Somewhat important
2002,Female,['Hispanic'],"['Smart TV', 'Roku ', 'Chromecast', 'Apple TV', 'Smartphone', 'Laptop']",Extrovert,I am a full time student with a job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Google TV+', 'Apple TV+', 'Disney+', 'HBO Max', 'Discovery+']",Netflix,"['Iheartradio', 'Spotify', 'Apple Music', 'Pandora', 'SoundCloud', 'YouTube Music']",Apple Music,I personally pay for most or all of the streaming platforms I use,Yes,"['Price/Cost', 'Not enough content I liked']",< 1 hour,6-8 hours,1-5 hours,12+ hours,12+ hours,Listening to music,Focus entirely on the show,Watch alone,Hearing about it from a friend/family member,Very important
1998,Female,['Hispanic'],"['Firestick', 'Gaming console', 'Smartphone']",Introvert,I have a part time job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Sling', 'Google TV+', 'Disney+', 'Paramount +', 'Discovery+', 'Crunchyroll', 'Funimation']",Hulu,"['Bandcamp', 'Amazon Music', 'SoundCloud']",SoundCloud,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],1-5 hours,1-5 hours,6-8 hours,< 1 hour,6-8 hours,Listening to music,Have it on in the background,Watch alone,Seeing it as an ad on a streaming app,Somewhat important
2000,Male,['White or Caucasian'],"['Smart TV', 'Gaming console', 'Smartphone', 'Laptop']",Introvert,I have a part time job,"['Hulu', 'Netflix']",Netflix,['Spotify'],,I personally pay for most or all of the streaming platforms I use,No,[''],1-5 hours,0 hours,12+ hours,1-5 hours,6-8 hours,Playing video games,Have it on in the background,Watch alone,Hearing about it from a friend/family member,A little important
2003,Male,['White or Caucasian'],['Roku'],Introvert,None of the above,['Netflix'],,['Spotify'],,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],1-5 hours,1-5 hours,12+ hours,0 hours,6-8 hours,Playing video games,Have it on in the background,Watch with friends/family,Hearing about it from a friend/family member,Not at all important
2000,Male,['White or Caucasian'],"['Gaming console', 'Laptop']",Extrovert,I have a part time job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+']",Netflix,['Apple Music'],,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],1-5 hours,1-5 hours,9-11 hours,1-5 hours,9-11 hours,Playing video games,Focus entirely on the show,Watch alone,Seeing it on social media or online,Not at all important
2003,Male,['White or Caucasian'],"['Smart TV', 'Firestick', 'Gaming console', 'Smartphone']",Extrovert,I am a part time student,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+', 'Peacock', 'Paramount +', 'HBO Max']",HBO Max,"['Spotify', 'YouTube Music']",YouTube Music,I equally pay for and use another person’s account for the streaming platforms I use,No,[''],9-11 hours,9-11 hours,1-5 hours,< 1 hour,1-5 hours,Playing video games,Focus entirely on the show,Watch alone,Hearing about it from a friend/family member,Somewhat important
1998,Female,['White or Caucasian'],['Smartphone'],Introvert,I have a full time job,"['Netflix', 'Amazon Prime Video', 'YouTube Premium', 'Other (please specify)']",Netflix,"['Pandora', 'YouTube Music']",YouTube Music,I personally pay for most or all of the streaming platforms I use,No,[''],6-8 hours,6-8 hours,1-5 hours,0 hours,1-5 hours,Listening to music,Have it on in the background,Watch with friends/family,Seeing it as an ad on a streaming app,Not at all important
1999,Male,['White or Caucasian'],"['Roku ', 'Gaming console']",Introvert,I have a full time job,"['Netflix', 'HBO Max', 'Crunchyroll']",Crunchyroll,"['Spotify', 'YouTube Music']",Spotify,I personally pay for most or all of the streaming platforms I use,Yes,['Price/Cost'],1-5 hours,0 hours,1-5 hours,6-8 hours,1-5 hours,Listening to music,Focus entirely on the show,Watch with friends/family,Seeing it as a recommendation on a streaming app,Not at all important
2003,Female,['White or Caucasian'],"['Roku ', 'Laptop']",Introvert,I am a full time student with a job,"['Netflix', 'Amazon Prime Video', 'Disney+']",Netflix,"['Spotify', 'SoundCloud']",Spotify,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],1-5 hours,1-5 hours,< 1 hour,< 1 hour,1-5 hours,Listening to music,Have it on in the background,Watch alone,Seeing it as a recommendation on a streaming app,Very important
2001,Male,"['White or Caucasian', 'Black or African American']","['Gaming console', 'Smartphone', 'Laptop']",Introvert,I am a part time student with a job,"['Hulu', 'Netflix', 'Disney+', 'Peacock', 'HBO Max']",Netflix,['Apple Music'],,I personally pay for most or all of the streaming platforms I use,Yes,['Not enough content I liked'],6-8 hours,6-8 hours,6-8 hours,< 1 hour,6-8 hours,Listening to music,Have it on in the background,Watch alone,Seeing it on social media or online,A little important
1998,Male,['White or Caucasian'],"['Chromecast', 'Gaming console', 'Smartphone']",Introvert,I have a full time job,"['Hulu', 'Crunchyroll']",Hulu,['Spotify'],,I personally pay for most or all of the streaming platforms I use,No,[''],1-5 hours,0 hours,9-11 hours,0 hours,1-5 hours,Playing video games,Have it on in the background,Watch with friends/family,Hearing about it from a friend/family member,Not at all important
2003,Female,['White or Caucasian'],"['Smartphone', 'Laptop']",Introvert,I am a full time student,"['Hulu', 'Netflix', 'Disney+', 'HBO Max']",Netflix,"['Spotify', 'Pandora', 'YouTube Music']",YouTube Music,I personally pay for most or all of the streaming platforms I use,Yes,['Not enough content I liked'],9-11 hours,1-5 hours,6-8 hours,0 hours,12+ hours,Listening to music,Focus entirely on the show,Watch with friends/family,Hearing about it from a friend/family member,Not at all important
2000,Female,['White or Caucasian'],"['Smart TV', 'Roku ', 'Gaming console']",Introvert,I have a full time job,"['Hulu', 'Netflix', 'Disney+', 'Peacock', 'Paramount +', 'HBO Max', 'Discovery+']",Netflix,"['Spotify', 'Pandora', 'YouTube Music']",Pandora,I personally pay for most or all of the streaming platforms I use,Yes,['Not enough content I liked'],6-8 hours,1-5 hours,1-5 hours,0 hours,1-5 hours,Watching movies,Focus entirely on the show,Watch with friends/family,Seeing it as a recommendation on a streaming app,Somewhat important
2002,Female,['White or Caucasian'],['Roku'],Introvert,None of the above,['Paramount +'],,['Apple Music'],,I personally pay for most or all of the streaming platforms I use,Yes,['Price/Cost'],< 1 hour,< 1 hour,0 hours,0 hours,1-5 hours,Listening to music,Focus entirely on the show,Watch with friends/family,Seeing it on social media or online,A little important
1997,Male,['Hispanic'],"['Smart TV', 'Roku ', 'Gaming console', 'Smartphone', 'Laptop']",Extrovert,I have a part time job,"['Netflix', 'Amazon Prime Video', 'Disney+', 'Peacock']",Peacock,"[""I don't regularly stream music""]",,I equally pay for and use another person’s account for the streaming platforms I use,Yes,['Price/Cost'],1-5 hours,1-5 hours,< 1 hour,6-8 hours,1-5 hours,Listening to podcasts/audiobooks,Focus entirely on the show,Watch with friends/family,Hearing about it from a friend/family member,Not at all important
2002,Gender Variant/Non-conforming,['Black or African American'],['Smartphone'],Introvert,I am a full time student with a job,"['Netflix', 'Amazon Prime Video', 'Crunchyroll', 'Funimation']",Crunchyroll,"['Spotify', 'Amazon Music']",Spotify,I use a friend or family member’s account for most of the streaming platforms I use,Yes,['Price/Cost'],< 1 hour,1-5 hours,1-5 hours,1-5 hours,9-11 hours,Listening to music,Have it on in the background,Watch with friends/family,Hearing about it from a friend/family member,Somewhat important
1999,Male,['White or Caucasian'],"['Apple TV', 'Gaming console', 'Smartphone', 'Laptop']",Introvert,I have a full time job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'YouTube Premium']",YouTube Premium,"['Spotify', 'SoundCloud']",Spotify,I personally pay for most or all of the streaming platforms I use,Yes,['Hard to navigate the platform'],12+ hours,12+ hours,12+ hours,12+ hours,12+ hours,Listening to music,Have it on in the background,Watch alone,Seeing it on social media or online,Not at all important
2000,Male,"['White or Caucasian', 'Other (please specify):']",['Smartphone'],Introvert,I have a part time job,"['Hulu', 'Netflix', 'Disney+']",Netflix,"['Spotify', 'SoundCloud']",SoundCloud,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],1-5 hours,< 1 hour,12+ hours,0 hours,12+ hours,Playing video games,Focus entirely on the show,Watch alone,Seeing it as an ad on a streaming app,Very important
2003,Male,['White or Caucasian'],"['Roku ', 'Other (please specify)']",Introvert,I am a full time student with a job,['Netflix'],,"['Spotify', 'SoundCloud']",Spotify,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],< 1 hour,1-5 hours,12+ hours,1-5 hours,12+ hours,Playing video games,Focus entirely on the show,Watch alone,Hearing about it from a friend/family member,Not at all important
2002,Male,['White or Caucasian'],['Gaming console'],Introvert,None of the above,['Peacock'],,"['Spotify', 'Apple Music', 'SoundCloud', 'YouTube Music']",Apple Music,I equally pay for and use another person’s account for the streaming platforms I use,No,[''],1-5 hours,< 1 hour,6-8 hours,0 hours,1-5 hours,Playing video games,Focus entirely on the show,Watch alone,Hearing about it from a friend/family member,A little important
2003,Female,['White or Caucasian'],"['Firestick', 'Smartphone', 'Laptop']",Extrovert,I am a full time student,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+', 'Peacock', 'Paramount +', 'HBO Max']",Peacock,['Spotify'],,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],12+ hours,9-11 hours,1-5 hours,6-8 hours,6-8 hours,Watching movies,Focus entirely on the show,Watch alone,Seeing it as a recommendation on a streaming app,Not at all important
2003,Male,['White or Caucasian'],"['Smart TV', 'Roku ', 'Firestick', 'Smartphone', 'Laptop']",Extrovert,I am a full time student with a job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Apple TV+', 'Disney+']",Netflix,"['Apple Music', 'SoundCloud']",Apple Music,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],0 hours,1-5 hours,6-8 hours,1-5 hours,12+ hours,Playing video games,Focus entirely on the show,Watch with friends/family,Seeing it as a recommendation on a streaming app,Somewhat important
1998,Male,['White or Caucasian'],"['Gaming console', 'Smartphone']",Introvert,I have a part time job,"['Disney+', 'Peacock']",Peacock,['Spotify'],,I equally pay for and use another person’s account for the streaming platforms I use,No,[''],< 1 hour,0 hours,6-8 hours,1-5 hours,1-5 hours,Playing video games,Have it on in the background,Watch with friends/family,Hearing about it from a friend/family member,Not at all important
2002,Female,"['White or Caucasian', 'Hispanic']","['Roku ', 'Apple TV', 'Laptop']",Introvert,I am a full time student with a job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'YouTube Premium', 'Apple TV+', 'Disney+', 'HBO Max']",Netflix,"['Apple Music', 'SoundCloud', 'YouTube Music']",Apple Music,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],6-8 hours,1-5 hours,0 hours,< 1 hour,6-8 hours,Watching TV shows,Have it on in the background,Watch with friends/family,Seeing it on social media or online,Somewhat important
2003,Male,['White or Caucasian'],['Roku'],Extrovert,I am a full time student with a job,"['Hulu', 'Amazon Prime Video', 'Other (please specify)']",Other (please specify),"['Spotify', 'Apple Music', 'SoundCloud']",Apple Music,I personally pay for most or all of the streaming platforms I use,Yes,['Price/Cost'],6-8 hours,6-8 hours,6-8 hours,< 1 hour,12+ hours,Listening to music,Focus entirely on the show,Watch alone,Seeing it as a recommendation on a streaming app,Not at all important
1997,Female,['White or Caucasian'],"['Roku ', 'Smartphone', 'Laptop']",Extrovert,I have a full time job,"['Hulu', 'Netflix', 'Disney+', 'HBO Max']",Hulu,['Apple Music'],,I personally pay for most or all of the streaming platforms I use,No,[''],6-8 hours,1-5 hours,0 hours,0 hours,6-8 hours,Listening to music,Have it on in the background,Watch with friends/family,Seeing it on social media or online,Not at all important
2000,Female,['White or Caucasian'],"['Smart TV', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I am a part time student,"['Hulu', 'Netflix', 'Disney+', 'HBO Max']",Netflix,['Spotify'],,I personally pay for most or all of the streaming platforms I use,Yes,"['Not enough content I liked', 'Content I liked left/ended']",9-11 hours,9-11 hours,12+ hours,0 hours,12+ hours,Playing video games,Focus entirely on the show,Watch with friends/family,Hearing about it from a friend/family member,Very important
1998,Female,['White or Caucasian'],"['Gaming console', 'Smartphone', 'Laptop']",Extrovert,I have a full time job,"['Hulu', 'Netflix', 'Disney+', 'Peacock', 'HBO Max', 'ESPN+', 'Crunchyroll']",Netflix,"['Spotify', 'Apple Music', 'YouTube Music']",Apple Music,I personally pay for most or all of the streaming platforms I use,No,[''],6-8 hours,1-5 hours,1-5 hours,1-5 hours,< 1 hour,Watching movies,Have it on in the background,Watch alone,Seeing it on social media or online,Very important
2001,Male,['Hispanic'],"['Smart TV', 'Chromecast', 'Apple TV', 'Smartphone']",Extrovert,I have a part time job,"['Netflix', 'Amazon Prime Video', 'Apple TV+', 'Crunchyroll', 'Funimation']",Amazon Prime Video,"['Spotify', 'Amazon Music', 'Apple Music', 'Pandora']",Apple Music,I personally pay for most or all of the streaming platforms I use,No,[''],6-8 hours,1-5 hours,1-5 hours,1-5 hours,6-8 hours,Listening to music,Focus entirely on the show,Watch with friends/family,Seeing it on social media or online,Somewhat important
1998,Female,['White or Caucasian'],"['Smart TV', 'Gaming console', 'Smartphone', 'Laptop']",Introvert,I have a full time job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+', 'HBO Max']",HBO Max,"['Apple Music', 'Pandora']",Apple Music,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],1-5 hours,1-5 hours,9-11 hours,1-5 hours,6-8 hours,Playing video games,Focus entirely on the show,Watch with friends/family,Hearing about it from a friend/family member,Not at all important
1998,Male,['White or Caucasian'],"['Smartphone', 'Laptop']",Introvert,I have a full time job,['HBO Max'],,['Spotify'],,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],1-5 hours,0 hours,< 1 hour,9-11 hours,9-11 hours,Listening to podcasts/audiobooks,Focus entirely on the show,Watch alone,Hearing about it from a friend/family member,Not at all important
2000,Female,['White or Caucasian'],"['Smart TV', 'Roku ', 'Laptop']",Extrovert,I am a full time student,"['Hulu', 'Netflix', 'Disney+']",Netflix,"['Iheartradio', 'Spotify', 'Amazon Music', 'Apple Music', 'YouTube Music']",Apple Music,I personally pay for most or all of the streaming platforms I use,Yes,"['Price/Cost', 'Hard to navigate the platform']",1-5 hours,6-8 hours,< 1 hour,1-5 hours,1-5 hours,Watching TV shows,Have it on in the background,Watch alone,Hearing about it from a friend/family member,Somewhat important
1997,Male,['White or Caucasian'],"['Smart TV', 'Roku ', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Extrovert,I have a part time job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+', 'Peacock']",Netflix,"['Spotify', 'Audible']",Audible,I personally pay for most or all of the streaming platforms I use,No,[''],12+ hours,1-5 hours,12+ hours,1-5 hours,6-8 hours,Watching TV shows,Focus entirely on the show,Watch with friends/family,Seeing it on social media or online,Very important
1999,Female,['Black or African American'],['Chromecast'],Introvert,I am a full time student,"['Amazon Prime Video', 'YouTube Premium', 'Peacock', 'Crunchyroll']",Crunchyroll,"['Spotify', 'Pandora', 'SoundCloud', 'YouTube Music']",SoundCloud,I personally pay for most or all of the streaming platforms I use,Yes,['Hard to navigate the platform'],1-5 hours,< 1 hour,9-11 hours,1-5 hours,12+ hours,Listening to music,Have it on in the background,Watch alone,Seeing it as a recommendation on a streaming app,Somewhat important
